isrs_code;latitude;longitude
NLHRX0104A0763900088;51.8209595506145;4.85797242510518
NLAMS002120530000008;52.3904410490402;4.88546732244396
NLAMS002120530600018;52.381814498466;4.87903727231402
NLAMS002120530800024;52.3790471289035;4.87285621240599
NLAMS002120531000028;52.3754366200189;4.86983161544239
NLAMS002120531800054;52.3547747075932;4.85355186396055
NLAMS002120532000058;52.3509752126996;4.85237580986518
NLAMS002122252400073;52.3380627973103;4.84691152370069
NLAMS002122252600074;52.3377568873311;4.8469466902741
NLAMS002200478600002;52.3775050957243;4.91069172528071
NLAMS002200479200010;52.371078780301;4.91280108621233
NLAMS002200479400011;52.3703542912249;4.91173912998856
NLAMS002200479600013;52.3691634323768;4.90982337940256
NLAMS002200479800016;52.3673955980863;4.90710340760203
NLAMS002200480000018;52.36647790008;4.90480634086493
